"","review.url","album.name","reviewer.name","review.date","genre","artist","year","score"
"1","/reviews/albums/12760-black-moses-juicy-fruit-disco-freak/","Black Moses / Juicy Fruit (Disco Freak)","/staff/stephen-m-deusner/",2009-03-04,"pop","Isaac Hayes",2009,8.7
"2","/reviews/albums/12852-histoire-de-melody-nelson/","Histoire de Melody Nelson","/staff/tom-ewing/",2009-03-26,"pop","Serge Gainsbourg",2009,10
"3","/reviews/albums/13233-hot-buttered-soul/","Hot Buttered Soul","/staff/nate-patrin/",2009-06-29,"pop","Isaac Hayes",2009,9.2
"4","/reviews/albums/13629-shaft-ost-deluxe-edition/","Shaft OST [Deluxe Edition]","/staff/nate-patrin/",2009-11-02,"pop","Isaac Hayes",2009,8.5
"5","/reviews/albums/13984-ladies-and-gentlemen-we-are-floating-in-space-collectors-editon/","Ladies and Gentlemen We are Floating in Space [Collector's Editon]","/staff/grayson-currin/",2010-03-02,"experimental","Spiritualized",2010,10
"6","/reviews/albums/14083-today-on-fire-this-is-our-music/","Today / On Fire / This Is Our Music","/staff/mark-richardson/",2010-03-30,"experimental","Galaxie 500",2010,9.5
"7","/reviews/albums/14524-jane-birkin-et-serge-gainsbourg/","Jane Birkin et Serge Gainsbourg","/staff/joe-tangari/",2010-08-04,"pop","Serge Gainsbourg",2010,8.8
"8","/reviews/albums/14880-my-beautiful-dark-twisted-fantasy/","My Beautiful Dark Twisted Fantasy","/staff/ryan-dombal/",2010-11-22,"rap","Kanye West",2010,10
"9","/reviews/albums/16335-put-your-back-n-2-it/","Put Your Back N 2 It","/staff/larry-fitzmaurice/",2012-02-27,"pop","Perfume Genius",2012,8.4
"10","/reviews/albums/16503-sweet-heart-sweet-light/","Sweet Heart Sweet Light","/staff/ryan-dombal/",2012-04-16,"experimental","Spiritualized",2012,8.8
"11","/reviews/albums/16859-channel-orange/","Channel Orange","/staff/ryan-dombal/",2012-07-12,"pop","Frank Ocean",2012,9.5
"12","/reviews/albums/16857-liquid-swords-chess-box-deluxe-edition/","Liquid Swords: Chess Box Deluxe Edition","/staff/ian-cohen/",2012-07-27,"rap","GZA",2012,10
